window_config,model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
30s_15s,Boosting,TEMP-only,0.6683760683760683,0.3494787154985141,0.6767317121450502,0.1068685694325612,0.373455000121343,0.1698350310408186
30s_15s,LR,ECG-only,0.4797720797720797,0.3961772944408687,0.473237236055048,0.2386727434848605,0.3635673519680982,0.1600930391820119
30s_15s,SVM,ECG-only,0.5054131054131055,0.4012776736211467,0.497748662175775,0.2179820944747634,0.3634112110387992,0.1420587046554692
30s_15s,RF,EDA-only,0.6752136752136753,0.3569244463242413,0.6857767994021842,0.1303341287375882,0.3629642796361866,0.1010942255541945
30s_15s,Boosting,EDA-only,0.6843304843304844,0.3323430583702815,0.6918938591306613,0.1297252740717991,0.3551470200409337,0.1020617345825706
30s_15s,RF,TEMP-only,0.6262108262108262,0.3378373408791555,0.6327245969789821,0.1246993608352807,0.3371856210010029,0.1321272404815784
30s_15s,SVM,TEMP-only,0.3754985754985755,0.3260016235512888,0.3689911227090514,0.2318291140575368,0.3050786391702892,0.1779971758909264
30s_15s,LR,TEMP-only,0.3418803418803419,0.3147440825828125,0.3346870255643467,0.1711842332182765,0.2760060535327975,0.1373043965121722
10s_5s,LR,EDA-only,0.6637152777777777,0.4650352300356632,0.6642386688791354,0.1014162709873003,0.4531223358802219,0.1451381574319349
10s_5s,RF,ECG+EDA+TEMP,0.7473958333333334,0.4815683665845011,0.7463154432538593,0.1071244528925986,0.4476903684924552,0.132401960601219
10s_5s,Boosting,ECG+EDA+TEMP,0.7272569444444444,0.5061302432550386,0.7287238023651778,0.0815626330100088,0.4382507052678882,0.1302851893830791
10s_5s,LR,ECG+EDA+TEMP,0.5439236111111111,0.461498829467362,0.5343314571968634,0.1847335501494459,0.4365606023602898,0.1486862887569596
10s_5s,SVM,EDA-only,0.6190972222222222,0.4179109228532461,0.6231469180475137,0.2265652555619867,0.4158111403915366,0.1681091575245512
10s_5s,SVM,ECG+EDA+TEMP,0.5407986111111112,0.44524595190629,0.5438440036864076,0.1764122557665793,0.4080800033981192,0.1083992258459002
10s_5s,RF,ECG-only,0.7027777777777777,0.4409355977435925,0.7119056387294141,0.1095777497001983,0.3968654352329838,0.1077414039748834
10s_5s,SVM,ECG-only,0.5342013888888889,0.4166613432660325,0.5280475649361465,0.1962555940177612,0.3816315286232378,0.1275754921781033
10s_5s,Boosting,ECG-only,0.7038194444444444,0.4357715194029686,0.7140606796352152,0.1319825823722273,0.3771814460861883,0.1113046376348105
10s_5s,RF,EDA-only,0.6588541666666666,0.3500066016087444,0.6653759312053372,0.1335744668642131,0.3709953981257536,0.1029493086176222
10s_5s,LR,ECG-only,0.4897569444444444,0.3964018650248568,0.4822621057929173,0.2212782046018702,0.3599437689430861,0.1515276382656859
10s_5s,Boosting,EDA-only,0.6855902777777778,0.3370825416678835,0.689820138935701,0.0994856190559833,0.3528611530434313,0.0913413218230866
10s_5s,RF,TEMP-only,0.5975694444444445,0.3220147011005773,0.6012670089863471,0.114762924541547,0.3222357513997279,0.0794738238509061
10s_5s,Boosting,TEMP-only,0.6569444444444444,0.3165540258677682,0.6620163408060361,0.1032885714285982,0.3185925418541105,0.0755731943014671
10s_5s,LR,TEMP-only,0.3741319444444444,0.3287181049758627,0.3699526166615049,0.134582774143684,0.3005517410581024,0.0934784021048864
10s_5s,SVM,TEMP-only,0.3428819444444444,0.3071646936495299,0.3365371349557817,0.1901780337732085,0.2787811022475885,0.1518969959647955
